,Image,F1,Jaccard,Recall,Precision
129,2814.png,0.47032069970845475,0.3074635968590379,0.3183863582537302,0.8996207896497881
130,1677.png,0.6891263940520447,0.5257001063452676,0.5496664195700519,0.9234122042341221
131,2205.png,0.9297082228116711,0.8686493184634448,0.8901587301587301,0.9729354614850798
132,3485.png,0.81503568286245,0.6878145367543932,0.7071246819338423,0.9618135671435164
133,1133.png,0.9094083057699376,0.8338668913226621,0.8899478511059162,0.9297388690588014
134,14.png,0.36244541484716153,0.22133333333333333,0.22133333333333333,1.0
135,2824.png,0.6471309465424228,0.47833967736088456,0.7786191974822974,0.5536363636363636
136,2709.png,0.663619744058501,0.49658002735978113,0.5023062730627307,0.9775583482944344
137,3792.png,0.9319248826291081,0.8725274725274725,0.8802660753880266,0.9900249376558603
138,1650.png,0.936343630287717,0.8803065134099617,0.9281982224616213,0.9446332638965026
139,1455.png,0.8526505795173854,0.7431481328144407,0.7759813245720214,0.9461311406282943
140,2054.png,0.9698879551820728,0.9415363698164514,0.9692092372288313,0.9705676243868255
141,3309.png,0.5378933286802768,0.36788925133264383,0.4291415313225058,0.7204736678092863
142,3846.png,0.9198606271777002,0.8516129032258064,0.946236559139785,0.8949152542372881
143,620.png,0.8712132517534696,0.7718138551031201,0.8590347263095939,0.8837420526793823
144,3023.png,0.3597122302158274,0.21929824561403508,0.3601833660772757,0.35924232527759636
145,839.png,0.8949438202247191,0.809862735129639,0.8399683627735302,0.957619477006312
146,1978.png,0.9006622516556291,0.8192771084337349,0.912751677852349,0.8888888888888888
147,3975.png,0.3545802856147684,0.21549534292972058,0.8385502471169687,0.2248233215547703
148,2652.png,0.8376001050282263,0.7205782697086063,0.7277455856184697,0.9865165759524988
149,667.png,0.9801801801801802,0.9611307420494699,0.991494532199271,0.9691211401425178
150,3282.png,0.9463019250253293,0.8980769230769231,0.9458227848101266,0.9467815509376584
151,2531.png,0.9409983038526775,0.8885711017046105,0.9093782929399368,0.9748964478473704
152,405.png,0.8790157211209843,0.7841463414634147,0.8212005108556832,0.9455882352941176
153,2579.png,0.9163709038282624,0.8456499618417705,0.9010639018770753,0.9322069545709478
154,2156.png,0.9728270186867821,0.9470917132604523,0.9613722998729352,0.9845579942743125
155,196.png,0.9193548387096774,0.8507462686567164,0.8507462686567164,1.0
156,3794.png,0.98479427549195,0.9700440528634361,0.9886853448275862,0.9809337134711333
157,3340.png,0.9372093023255814,0.8818380743982495,0.9035874439461884,0.9734299516908212
158,3603.png,0.9556780595369351,0.9151182432432432,0.9746626686656672,0.9374188896899783
159,2885.png,0.916800414185866,0.8463817990631871,0.9205656061551258,0.9130658966690729
160,3437.png,0.0,0.0,0.0,0.0
161,926.png,0.6091358876999194,0.43795499669093313,0.9470483005366727,0.4489484396200814
162,2825.png,0.9438826855801025,0.8937290135220982,0.9674820709303468,0.9214071856287425
163,3069.png,0.7832063904885751,0.6436641221374045,0.9772832637923041,0.6534407935523868
164,2901.png,0.918592,0.8494407291235131,0.8975112556278139,0.9406868527985319
165,2714.png,0.9095780308104486,0.8341523341523341,0.8382716049382716,0.9941434846266471
166,3946.png,0.29213483146067415,0.17105263157894737,0.5652173913043478,0.19696969696969696
167,1125.png,0.9225874867444327,0.8562992125984252,0.8877551020408163,0.9602649006622517
168,2690.png,0.9617486338797814,0.9263157894736842,0.9652042360060514,0.9583176868193767
169,562.png,0.0,0.0,0.0,0.0
170,3389.png,0.9291420271812428,0.8676613059484596,0.888844779674474,0.9732666811562704
171,3363.png,0.023921832884097036,0.012105711849957373,0.020600609313796606,0.02851978308897369
172,1052.png,0.9644760213143873,0.9313893653516295,0.9394463667820069,0.9908759124087592
173,736.png,0.9607068997931942,0.9243849493487699,0.9321415541773076,0.9910783553141971
